===================================================
Source: Omega Cen
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
5.875000e+00 1.287500e+00 2.493525e-04
5.875000e+00 1.312500e+00 2.533979e-04
5.875000e+00 1.337500e+00 2.528084e-04
5.875000e+00 1.362500e+00 2.475278e-04
5.875000e+00 1.387500e+00 2.377338e-04
5.875000e+00 1.412500e+00 2.238226e-04
5.875000e+00 1.437500e+00 2.063879e-04
5.875000e+00 1.462500e+00 1.861928e-04
5.875000e+00 1.487500e+00 1.641332e-04
5.875000e+00 1.512500e+00 1.411856e-04
5.875000e+00 1.537500e+00 1.183391e-04
5.875000e+00 1.562500e+00 9.651619e-05
5.875000e+00 1.587500e+00 7.649445e-05
5.875000e+00 1.612500e+00 5.884346e-05
5.875000e+00 1.637500e+00 4.388968e-05
5.875000e+00 1.662500e+00 3.171584e-05
5.875000e+00 1.687500e+00 2.219216e-05
5.875000e+00 1.712500e+00 1.503175e-05
5.875000e+00 1.737500e+00 9.855987e-06
5.875000e+00 1.762500e+00 6.257047e-06
5.875000e+00 1.787500e+00 3.847681e-06
5.875000e+00 1.812500e+00 2.293024e-06
5.875000e+00 1.837500e+00 1.324971e-06
5.875000e+00 1.862500e+00 7.425597e-07
5.875000e+00 1.887500e+00 4.036434e-07
5.875000e+00 1.912500e+00 2.127464e-07
5.875000e+00 1.937500e+00 1.086429e-07
5.875000e+00 1.962500e+00 5.369437e-08
5.875000e+00 1.987500e+00 2.564639e-08
5.875000e+00 2.012500e+00 1.181921e-08
5.875000e+00 2.037500e+00 5.246591e-09
5.875000e+00 2.062500e+00 2.239473e-09
5.875000e+00 2.087500e+00 9.176767e-10
5.875000e+00 2.112500e+00 3.604596e-10
5.875000e+00 2.137500e+00 1.355322e-10
5.875000e+00 2.162500e+00 4.872169e-11
5.875000e+00 2.187500e+00 1.672689e-11
5.875000e+00 2.212500e+00 5.479128e-12
5.875000e+00 2.237500e+00 1.711029e-12
5.875000e+00 2.262500e+00 5.090225e-13
5.875000e+00 2.287500e+00 1.441801e-13
5.875000e+00 2.312500e+00 3.886384e-14
5.875000e+00 2.337500e+00 9.965582e-15
5.875000e+00 2.362500e+00 2.430330e-15
5.875000e+00 2.387500e+00 5.635633e-16
5.875000e+00 2.412500e+00 1.242511e-16
5.875000e+00 2.437500e+00 2.604370e-17
5.875000e+00 2.462500e+00 5.189765e-18
5.875000e+00 2.487500e+00 9.831956e-19
5.875000e+00 2.512500e+00 1.770754e-19
5.875000e+00 2.537500e+00 3.031779e-20
5.875000e+00 2.562500e+00 4.934061e-21
5.875000e+00 2.587500e+00 7.631785e-22
5.875000e+00 2.612500e+00 1.121731e-22
5.875000e+00 2.637500e+00 1.566309e-23
5.875000e+00 2.662500e+00 2.077305e-24
5.875000e+00 2.687500e+00 2.615972e-25
5.875000e+00 2.712500e+00 3.127460e-26
5.875000e+00 2.737500e+00 3.549127e-27
5.875000e+00 2.762500e+00 3.822837e-28
5.875000e+00 2.787500e+00 3.908801e-29
5.875000e+00 2.812500e+00 3.794822e-30
5.875000e+00 2.837500e+00 3.499776e-31
5.875000e+00 2.862500e+00 3.068297e-32
5.875000e+00 2.887500e+00 2.559404e-33
5.875000e+00 2.912500e+00 2.033652e-34
5.875000e+00 2.937500e+00 1.541215e-35
5.875000e+00 2.962500e+00 1.115692e-36
6.125000e+00 5.125000e-01 3.469794e-06
6.125000e+00 5.375000e-01 4.265333e-06
6.125000e+00 5.625000e-01 5.137096e-06
6.125000e+00 5.875000e-01 6.095000e-06
6.125000e+00 6.125000e-01 7.158680e-06
6.125000e+00 6.375000e-01 8.355900e-06
6.125000e+00 6.625000e-01 9.720346e-06
6.125000e+00 6.875000e-01 1.129043e-05
6.125000e+00 7.125000e-01 1.311050e-05
6.125000e+00 7.375000e-01 1.523447e-05
6.125000e+00 7.625000e-01 1.773115e-05
6.125000e+00 7.875000e-01 2.068927e-05
6.125000e+00 8.125000e-01 2.422072e-05
6.125000e+00 8.375000e-01 2.846104e-05
6.125000e+00 8.625000e-01 3.356758e-05
6.125000e+00 8.875000e-01 3.971613e-05
6.125000e+00 9.125000e-01 4.709688e-05
6.125000e+00 9.375000e-01 5.590834e-05
6.125000e+00 9.625000e-01 6.634765e-05
6.125000e+00 9.875000e-01 7.859401e-05
6.125000e+00 1.012500e+00 9.278420e-05
6.125000e+00 1.037500e+00 1.089817e-04
6.125000e+00 1.062500e+00 1.271438e-04
6.125000e+00 1.087500e+00 1.470937e-04
6.125000e+00 1.112500e+00 1.685026e-04
6.125000e+00 1.137500e+00 1.908868e-04
6.125000e+00 1.162500e+00 2.136182e-04
6.125000e+00 1.187500e+00 2.359491e-04
6.125000e+00 1.212500e+00 2.570458e-04
